Liquidus Temperature ( C ),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Gd2O3,Bi2O3,TiO2,ZrO2,CeO2,SnO2,P2O5,Nb2O5,Ta2O5
1245,20,0,10,0,5.75,11.5,0,7,0,0,5.75,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1186,26,0,4,0,5.75,11.5,0,7,0,0,5.75,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1228,28,0,2,0,5.75,11.5,0,7,0,0,5.75,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1212,29,0,1,0,5.75,11.5,0,7,0,0,5.75,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1125,30,0,0,0,4.98,9.97,4,6.07,0,0,4.98,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1145,30,0,0,0,5.37,10.73,2,6.53,0,0,5.37,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1148,30,0,0,0,5.56,11.11,1,6.77,0,0,5.56,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1261,25,0,5,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1272,27.5,0,2.5,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1298,28.75,0,1.25,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1225,30,0,0,0,5.75,11.5,0,7,0,0,5.75,0,0,0,0,0,0,0,0,30,10,0,0,0,0,0
1190,30,0,0,0,5.75,11.5,0,7,0,0,5.75,0,0,0,0,0,0,0,0,33,7,0,0,0,0,0
1324,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1292,30,0,0,0,2.5,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1259,30,0,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1220,30,0,0,0,7.5,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1202,30,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1260,30,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1311,30,0,0,0,0,27.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1297,30,0,0,0,0,25,0,0,0,0,5,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1287,30,0,0,0,0,22.5,0,0,0,0,7.5,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1277,30,0,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1255,30,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1297,30,0,0,0,0,27.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1271,30,0,0,0,0,25,0,5,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1232,30,0,0,0,0,22.5,0,7.5,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
